1;44.053;3.8366;0.40081;;;150.15;3.2828;466.00;0
2;59.067;8.107;0.42;;;353.15;6.2386;761.00;0
3;60.052;4.0179;2.6037;-5.0031;2.7069;289.81;2.3412;591.95;0
4;102.089;6.352;0.3986;;;200.15;5.4139;606.00;0
5;58.079;4.215;0.3397;;;178.45;3.6390;508.20;0
6;41.052;4.3511;0.34765;;;229.32;3.5996;545.50;0
7;26.037;2.3214;0.35938;;;192.40;1.6333;308.30;0
8;56.063;3.8736;0.29335;;;185.45;3.3881;506.00;0
9;72.063;4.3756;2.2571;-4.5116;2.5738;286.15;2.7965;615.00;0
10;53.063;4.155;0.2733;;;189.63;3.6866;535.00;0
11;28.960;0.8474;0.3822;;;59.15;0.6759;132.45;0
12;17.031;3.1523;0.3914;-0.2289;0.2309;195.41;2.5298;405.65;0
13;108.138;5.8662;0.37127;;;235.65;4.9560;645.60;0
14;39.948;0.87308;0.3526;;;83.78;0.6561;150.86;0
15;121.137;8.7809;0.1933;0.30877;-0.14162;403.00;7.1286;824.00;0
16;78.112;4.5346;0.39053;;;278.68;3.4705;562.05;0
17;110.177;6.225;0.4412;;;258.27;5.0597;689.00;0
18;122.121;10.19;0.478;;;395.45;7.1277;751.00;0
19;103.121;6.8077;0.63344;-0.27365;;260.40;5.3147;699.35;0
20;182.218;10.523;0.87091;-0.45568;;321.35;7.4895;830.00;0
21;108.138;8.4762;0.35251;0.43853;-0.3026;257.85;6.8800;720.15;0
22;136.191;6.228;0.3411;;;275.65;5.1829;662.00;0
23;124.203;6.9642;0.44354;;;243.95;5.7930;718.00;0
24;154.208;7.635;0.39182;;;342.20;6.0719;773.00;0
25;159.808;4;0.351;;;265.85;3.2323;584.15;0
26;157.008;5.552;0.37694;;;242.43;4.6875;670.15;0
27;108.965;3.9004;0.38012;;;154.55;3.3933;503.80;0
28;94.939;3.169;0.3015;;;179.47;2.7379;467.00;0
29;54.090;3.522;0.395;;;136.95;3.0540;452.00;0
30;54.090;3.2632;0.3701;;;164.25;2.7235;425.00;0
31;58.122;3.6238;0.8337;-0.82274;0.39613;134.86;2.8684;425.12;0
32;90.121;8.9754;0.45316;;;220.00;7.5185;680.00;0
33;90.121;9.2247;0.42442;;;196.15;7.9759;676.00;0
34;74.122;7.1274;0.0483;0.8966;-0.5116;183.85;6.3643;563.10;0
35;74.122;7.9227;0.58361;0.02016;-0.08654;158.45;6.4607;535.90;0
36;56.106;3.3774;0.5107;-0.17304;0.05181;87.80;3.0197;419.50;0
